Company,Date,Ticker Symbol,Open,High,Low,Close,Volume
Electronic Arts,2024-10-01,EA,1087281.7543013215,1100254.5783357641,1033168.5000193748,1088141.9067134035,326665200
Embracer Group,2024-10-01,EMBRAC-B.ST,7797.753450000001,8048.715444766011,7131.50852537065,7785.803055233991,340488254
Microsoft Gaming,2024-10-01,MSFT,3215687.8436150677,3356812.304980625,2954439.102553817,3203431.79486125,3044579400
NetEase Games,2024-10-01,NTES,851333.7383672212,962785.5174491679,763749.1331344426,845241.5308581946,2848722000
Nintendo,2024-10-01,NTDOY,114390.35726269262,118332.38220448258,104227.10216508317,115422.45106745839,489399500
Playtika,2024-10-01,PLTK,216237.91222538525,251501.1054790973,204340.16940448256,213227.63909999997,77570500
Roblox Corporation,2024-10-01,RBLX,918419.8166836106,1014891.9326806251,668495.5019298195,903798.4864090265,875548700
Sony Interactive Entertainment,2024-10-01,SONY,5.4286285996076264,5.676614122206496,4.508827683615818,5.654069983788417,835493500
Take-Two Interactive,2024-10-01,TTWO,1495603.733350832,1540327.8221150676,1374762.7880344426,1489296.4605029852,151280400
Tencent Interactive Entertainment,2024-10-01,0700.HK,76308.77582439706,84781.45175522023,72427.74367447675,74504.91499761224,1277783837
